Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
447	1	53.52022	50.29954	3.220685	0.005780124
448	0	53.46991	50.24226	3.22765	0.005740007
449	1	53.68273	50.54018	3.14255	0.006249868
450	0	50.16443	47.2569	2.907532	0.007905655
451	1	53.19085	50.12231	3.068537	0.006729987
452	0	52.49524	49.19026	3.304979	0.005312869
453	1	53.60318	50.48198	3.121196	0.006384762
454	0	53.4648	50.23649	3.228313	0.005736205
455	1	53.58733	50.46924	3.118092	0.006404613
456	0	52.68414	49.65531	3.028834	0.007002564
457	1	53.50496	50.40051	3.104446	0.006492606
458	0	53.5661	50.35264	3.213457	0.005822058
459	1	51.697	48.35281	3.344194	0.005108557
460	0	53.58905	50.37965	3.209396	0.00584575
461	1	53.32953	50.24703	3.082499	0.006636681
462	0	53.70625	50.5501	3.156143	0.006165491
463	1	53.47802	50.37742	3.1006	0.006517627
464	0	53.68649	50.50222	3.18427	0.00599449
465	1	52.40497	49.09499	3.309988	0.005286319
466	0	53.69738	50.5479	3.149481	0.006206702
467	1	52.85041	49.80988	3.040529	0.006921151
468	0	53.32898	50.08509	3.243893	0.005647524
469	1	53.71	50.54458	3.16542	0.006108556
470	0	52.98973	49.93853	3.051194	0.006847728
471	1	53.71	50.54458	3.16542	0.006108556
472	0	53.17642	49.91816	3.258267	0.00556693
473	1	53.7098	50.54332	3.166474	0.006102122
474	0	53.70933	50.54147	3.167852	0.006093718
475	1	51.02591	48.08379	2.94212	0.00763689
476	0	53.47257	50.24527	3.227302	0.005742008
477	1	53.64743	50.45062	3.196802	0.005919834
478	0	53.43836	50.34304	3.095316	0.00655216
479	1	53.63074	50.50354	3.127197	0.006346565
480	0	53.66983	50.47946	3.190371	0.005958029
481	1	48.62141	45.76733	2.85408	0.00833973
482	0	53.70947	50.54847	3.160997	0.006135632
483	1	53.67589	50.53591	3.139977	0.006265971
484	0	53.48091	50.3799	3.101002	0.006515011
485	1	52.82541	49.54066	3.284756	0.005421401
486	0	53.61967	50.49499	3.12468	0.006362557
487	1	52.28212	48.96559	3.316524	0.005251885
488	0	53.69091	50.54482	3.146094	0.00622776
489	1	53.30317	50.05666	3.24651	0.005632767
